"Evaluation_Model","Evaluation_Model.Commit","Evaluation_Model.Datetime","Evaluation_Model.ProductionClass","Evaluation_Model.ChangedProductionMethods","Evaluation_Model.TestClass","Evaluation_Model.ChangedTestMethods","Evaluation_Model.ChangedAndCalled","Evaluation_Model.CalledTestMethods","Evaluation_Model.RecomendedTests","Evaluation_Model.RecomendedIndex"
"BusinessLogic.Evaluation_Model","3c13a07575642aa8ddbb6ab5c75b8da7b2f8e56b","21-12-2023 09:32:10 PM -05:00","IOCase","checkRegionMatches(String, int, String)","IOCaseTest","test_checkRegionMatches_functionality()","test_checkRegionMatches_functionality()","public void test_checkRegionMatches_functionality()","test_checkRegionMatches_functionality()","1"
"BusinessLogic.Evaluation_Model","bcf8fbbc36eba7dabfbeb88af920f0dfcc6de355","21-12-2023 08:42:01 PM -05:00","IOCase","checkIndexOf(String, int, String)","IOCaseTest","test_checkIndexOf_case()
test_checkIndexOf_functionality()","test_checkIndexOf_case()
test_checkIndexOf_functionality()","public void test_checkIndexOf_case()
public void test_checkIndexOf_functionality()","test_checkIndexOf_functionality()
test_checkIndexOf_case()","2, 1"
"BusinessLogic.Evaluation_Model","87ef9556055b6b4f970f89deac4e0592eb569de1","21-12-2023 08:34:36 PM -05:00","IOCase","checkEquals(String, String)","IOCaseTest","test_checkEquals_functionality()","test_checkEquals_functionality()","public void test_checkEquals_functionality()","test_checkEquals_functionality()","1"
"BusinessLogic.Evaluation_Model","9d15384876478092994a29f00f7b5568f16a8523","24-11-2023 10:15:47 AM -05:00","FileAlterationObserver","toString()","FileAlterationObserverTest","testToString()","testToString()","public void testToString()","testToString()","1"
"BusinessLogic.Evaluation_Model","7fd53e9f0a8b2ce09a1a5f364e8838c74e292b7c","23-11-2023 11:33:22 AM -05:00","IOStream","next()","IOStreamTest","testIterateException()","testIterateException()","public void testIterateException() throws IOException","testIterateException()","1"
"BusinessLogic.Evaluation_Model","77c6f91a7d6ddaf4fd4136782f58c36de9065361","27-10-2023 05:50:54 PM -04:00","MarkShieldInputStream","mark(int)","MarkShieldInputStreamTest","mark(int)
markIsNoOpWhenUnderlyingDoesNotSupport()
markIsNoOpWhenUnderlyingSupports()","mark(int)
markIsNoOpWhenUnderlyingDoesNotSupport()
markIsNoOpWhenUnderlyingSupports()","public void mark(final int readLimit)
public void markIsNoOpWhenUnderlyingDoesNotSupport() throws IOException
public void markIsNoOpWhenUnderlyingSupports() throws IOException","mark(int)
markIsNoOpWhenUnderlyingDoesNotSupport()
markIsNoOpWhenUnderlyingSupports()","1, 2, 3"
"BusinessLogic.Evaluation_Model","77c6f91a7d6ddaf4fd4136782f58c36de9065361","27-10-2023 05:50:54 PM -04:00","NullReader","mark(int)","NullReaderTest","testMarkAndReset()","testMarkAndReset()","public void testMarkAndReset() throws Exception","testMarkAndReset()
testMarkNotSupported()","1"
"BusinessLogic.Evaluation_Model","77c6f91a7d6ddaf4fd4136782f58c36de9065361","27-10-2023 05:50:54 PM -04:00","NullReader","reset()","NullReaderTest","testMarkAndReset()","testMarkAndReset()","public void testMarkAndReset() throws Exception","testMarkAndReset()
testMarkNotSupported()","1"
"BusinessLogic.Evaluation_Model","8814b6d7efa235fc1410c9699eb136da780d70a2","09-05-2023 09:06:37 AM -04:00","XmlStreamReader","getContentTypeMime(String)","XmlStreamReaderUtilitiesTest","checkHttpError(String, boolean, String, String, String, String, String)
checkRawError(String, String, String, String, String)","checkHttpError(String, boolean, String, String, String, String, String)","private void checkHttpError(final String msgSuffix, final boolean lenient, final String httpContentType, final String bomEnc, final String xmlGuessEnc, final String xmlEnc, final String defaultEncoding)","checkHttpError(String, boolean, String, String, String, String, String)
calculateHttpEncoding(String, String, String, String, boolean, String)
checkContentTypeMime(String, String)","1"
"BusinessLogic.Evaluation_Model","4ba62929ba78f8a01818ffea6f230f04809c0ceb","23-04-2023 06:15:43 AM -07:00","QueueInputStream","getTimeout()","QueueInputStreamTest","testTimeoutInterrupted()
testUnbufferedReadWriteWithTimeout(String)","testUnbufferedReadWriteWithTimeout(String)","public void testUnbufferedReadWriteWithTimeout(final String inputData) throws IOException","testUnbufferedReadWriteWithTimeout(String)
testResetArguments()","1"
