"Evaluation_Model","Evaluation_Model.Commit","Evaluation_Model.Datetime","Evaluation_Model.ProductionClass","Evaluation_Model.ChangedProductionMethods","Evaluation_Model.TestClass","Evaluation_Model.ChangedTestMethods","Evaluation_Model.ChangedAndCalled","Evaluation_Model.CalledTestMethods","Evaluation_Model.RecomendedTests","Evaluation_Model.RecomendedIndex"
"BusinessLogic.Evaluation_Model","f161ff66698bea44784926fc6aa9073d96a00cec","24-05-2024 09:44:20 AM -04:00","ObjectUtils","clone(T)","ObjectUtilsTest","testCloneOfUncloneable()
testPossibleCloneOfUncloneable()","testCloneOfUncloneable()","public void testCloneOfUncloneable()","testCloneOfUncloneable()
testCloneOfPrimitiveArray()
testCloneOfStringArray()
testCloneOfCloneable()
testCloneOfNotCloneable()","1"
"BusinessLogic.Evaluation_Model","f161ff66698bea44784926fc6aa9073d96a00cec","24-05-2024 09:44:20 AM -04:00","EventUtils","addEventListener(Object, Class, L)","EventUtilsTest","addPropertyChangeListener(PropertyChangeListener)
testAddEventListenerWithNoAddMethod()
testAddEventListenerWithPrivateAddMethod()","testAddEventListenerWithNoAddMethod()
testAddEventListenerWithPrivateAddMethod()","public void testAddEventListenerWithNoAddMethod()
public void testAddEventListenerWithPrivateAddMethod()","testAddEventListenerWithNoAddMethod()
testAddEventListenerWithPrivateAddMethod()
testAddEventListenerThrowsException()
testAddEventListener()","1, 2"
"BusinessLogic.Evaluation_Model","892826578a7cefb901b8fe2e304aa1ce7470267a","24-04-2024 06:20:53 PM -04:00","JavaVersion","get(String)","JavaVersionTest","testAtLeast()
testGetJavaVersion()
testToString()","testGetJavaVersion()","public void testGetJavaVersion() throws Exception","testGetJavaVersion()","1"
"BusinessLogic.Evaluation_Model","fc014c23fe4441b9a31f261468072d04433670a5","19-04-2024 08:53:54 AM -04:00","StringUtils","stripAccents(String)","StringUtilsTrimStripTest","testStripAccents()
testStripAccents_Korean()","testStripAccents()
testStripAccents_Korean()","public void testStripAccents()
public void testStripAccents_Korean()","testStripAccents()
testStripAccents_Korean()","1, 2"
"BusinessLogic.Evaluation_Model","aeca68f2a5e5b87ab5bb94e1139ca42e547f0bd4","23-02-2024 08:27:30 PM -05:00","ArraySorter","sort(byte[])","ArraySorterTest","testSortByteArray()
testSortCharArray()
testSortComparable()
testSortDoubleArray()
testSortFloatArray()
testSortIntArray()
testSortLongArray()
testSortObjects()
testSortShortArray()","testSortByteArray()","public void testSortByteArray()","testSortByteArray()","1"
"BusinessLogic.Evaluation_Model","aeca68f2a5e5b87ab5bb94e1139ca42e547f0bd4","23-02-2024 08:27:30 PM -05:00","ArraySorter","sort(char[])","ArraySorterTest","testSortByteArray()
testSortCharArray()
testSortComparable()
testSortDoubleArray()
testSortFloatArray()
testSortIntArray()
testSortLongArray()
testSortObjects()
testSortShortArray()","testSortCharArray()","public void testSortCharArray()","testSortCharArray()","1"
"BusinessLogic.Evaluation_Model","aeca68f2a5e5b87ab5bb94e1139ca42e547f0bd4","23-02-2024 08:27:30 PM -05:00","ArraySorter","sort(double[])","ArraySorterTest","testSortByteArray()
testSortCharArray()
testSortComparable()
testSortDoubleArray()
testSortFloatArray()
testSortIntArray()
testSortLongArray()
testSortObjects()
testSortShortArray()","testSortDoubleArray()","public void testSortDoubleArray()","testSortDoubleArray()","1"
"BusinessLogic.Evaluation_Model","aeca68f2a5e5b87ab5bb94e1139ca42e547f0bd4","23-02-2024 08:27:30 PM -05:00","ArraySorter","sort(float[])","ArraySorterTest","testSortByteArray()
testSortCharArray()
testSortComparable()
testSortDoubleArray()
testSortFloatArray()
testSortIntArray()
testSortLongArray()
testSortObjects()
testSortShortArray()","testSortFloatArray()","public void testSortFloatArray()","testSortFloatArray()","1"
"BusinessLogic.Evaluation_Model","aeca68f2a5e5b87ab5bb94e1139ca42e547f0bd4","23-02-2024 08:27:30 PM -05:00","ArraySorter","sort(int[])","ArraySorterTest","testSortByteArray()
testSortCharArray()
testSortComparable()
testSortDoubleArray()
testSortFloatArray()
testSortIntArray()
testSortLongArray()
testSortObjects()
testSortShortArray()","testSortIntArray()","public void testSortIntArray()","testSortIntArray()","1"
"BusinessLogic.Evaluation_Model","aeca68f2a5e5b87ab5bb94e1139ca42e547f0bd4","23-02-2024 08:27:30 PM -05:00","ArraySorter","sort(long[])","ArraySorterTest","testSortByteArray()
testSortCharArray()
testSortComparable()
testSortDoubleArray()
testSortFloatArray()
testSortIntArray()
testSortLongArray()
testSortObjects()
testSortShortArray()","testSortLongArray()","public void testSortLongArray()","testSortLongArray()","1"
