"linkage","linkage.sourceMethodFileName","linkage.testMethodFileName","linkage.SourceMethodName","linkage.TestMethodName","linkage.Sha_DateTime_All","linkage.Count"
"ConsoleApp.linkage","Consumers","ConsumersTest","accept(Consumer, T)","testAccept()","29-05-2024 04:18:40 PM -04:00:4c1cbdbb8002074959f3291371b34f4b0ce1f359",1
"ConsoleApp.linkage","Consumers","ConsumersTest","accept(T, Consumer)","testAccept()","30-05-2024 03:18:19 AM +09:00:234c6a9b84cb4bfb03e54c717df3ccd940b9884a",1
"ConsoleApp.linkage","Functions","FunctionsTest","apply(Function, T)","testApply()","29-05-2024 04:18:40 PM -04:00:4c1cbdbb8002074959f3291371b34f4b0ce1f359",1
"ConsoleApp.linkage","Functions","FunctionsTest","apply(T, Function)","testApply()","30-05-2024 03:18:19 AM +09:00:234c6a9b84cb4bfb03e54c717df3ccd940b9884a",1
"ConsoleApp.linkage","Functions","FunctionsTest","function(Function)","testFunction()","04-08-2023 07:57:50 PM -04:00:0ede42bbdcf93560679a43ad1ac694fc6c05be59",1
"ConsoleApp.linkage","Functions","FunctionsTest","test(double)","testDoublePredicate()","17-06-2020 09:30:21 AM -04:00:36111ba5829bdd4249c7418c1aec17c149ef86a3",1
"ConsoleApp.linkage","Functions","FunctionsTest","test(int)","testIntPredicate()","17-06-2020 09:30:21 AM -04:00:36111ba5829bdd4249c7418c1aec17c149ef86a3",1
"ConsoleApp.linkage","Functions","FunctionsTest","test(long)","testLongPredicate()","17-06-2020 09:30:21 AM -04:00:36111ba5829bdd4249c7418c1aec17c149ef86a3",1
"ConsoleApp.linkage","Functions","FunctionsTest","rethrow(Throwable)","testAsCallable()","14-02-2020 10:32:54 PM +01:00:ee87df847299c55c97347e6c11e00a283feb189d
14-02-2020 09:36:04 AM -05:00:485876f9c2d90b211b5776567086ec0700767f3c",2
"ConsoleApp.linkage","Functions","FunctionsTest","get()","testAsSupplier()","22-08-2019 10:49:53 PM -04:00:5f2bf30edee6ba2c5c9d27b58fe8b032073fb991
22-08-2019 10:09:11 PM +02:00:bc16e0109a30b819c50895e157830fe9b3f8e93f",2
"ConsoleApp.linkage","Functions","FunctionsTest","accept(O)","testTryWithResources()","08-02-2019 07:41:40 PM +01:00:43badd4dfa44b5e0c2fe65cbc20c7766298b5960",1
"ConsoleApp.linkage","ExceptionUtils","ExceptionUtilsTest","asRuntimeException(Throwable)","throwsCheckedException()","17-10-2023 11:16:29 AM -04:00:3935fa2f193a0cc652300677beeb61b535eedf4c",1
"ConsoleApp.linkage","ExceptionUtils","ExceptionUtilsTest","asRuntimeException(Throwable)","testAsRuntimeException()","17-10-2023 11:16:29 AM -04:00:3935fa2f193a0cc652300677beeb61b535eedf4c",1
"ConsoleApp.linkage","ExceptionUtils","ExceptionUtilsTest","rethrow(Throwable)","testRethrow()","17-10-2023 11:16:29 AM -04:00:3935fa2f193a0cc652300677beeb61b535eedf4c",1
"ConsoleApp.linkage","ExceptionUtils","ExceptionUtilsTest","rethrow(Throwable)","testThrow()","11-07-2015 03:41:56 PM -07:00:59022fb870c2c45a27e00943003c5acdeddaeec3",1
"ConsoleApp.linkage","ExceptionUtils","ExceptionUtilsTest","rethrow(Throwable)","throwsCheckedException()","11-07-2015 03:41:56 PM -07:00:59022fb870c2c45a27e00943003c5acdeddaeec3",1
"ConsoleApp.linkage","ExceptionUtils","ExceptionUtilsTest","isUnchecked(Throwable)","testIsUnchecked_null()","03-07-2023 11:58:45 AM +01:00:f68a643ef99189d10a6753167367dcc8f943d634",1
"ConsoleApp.linkage","ExceptionUtils","ExceptionUtilsTest","isUnchecked(Throwable)","testIsUnchecked_unchecked()","02-07-2023 08:34:48 PM +01:00:3a0d3b93a81fd8c795be4da3bc34f693f7ee9ed3",1
"ConsoleApp.linkage","ExceptionUtils","ExceptionUtilsTest","isUnchecked(Throwable)","testIsUnchecked_checked()","02-07-2023 08:34:48 PM +01:00:3a0d3b93a81fd8c795be4da3bc34f693f7ee9ed3",1
"ConsoleApp.linkage","ExceptionUtils","ExceptionUtilsTest","isUnchecked(Throwable)","testIsUnchecked_error()","02-07-2023 08:34:48 PM +01:00:3a0d3b93a81fd8c795be4da3bc34f693f7ee9ed3",1
