"Evaluation_Model","Evaluation_Model.Commit","Evaluation_Model.Datetime","Evaluation_Model.ProductionClass","Evaluation_Model.ChangedProductionMethods","Evaluation_Model.TestClass","Evaluation_Model.ChangedTestMethods","Evaluation_Model.ChangedAndCalled","Evaluation_Model.CalledTestMethods","Evaluation_Model.RecomendedTests","Evaluation_Model.RecomendedIndex"
"BusinessLogic.Evaluation_Model","342d60015ffb2738820d4e49423dbb884533bae8","19-03-2024 02:44:35 PM +01:00","JsonParser","public static JsonElement parseReader(JsonReader reader) throws JsonIOException, JsonSyntaxException","JsonParserTest","public void testLegacyStrict()
public void testStrict()
public void testParseInvalidJson()","public void testLegacyStrict()
public void testStrict()","public void testLegacyStrict()
public void testStrict()","public void testStrict()
public void testLegacyStrict()","2, 1"
"BusinessLogic.Evaluation_Model","13be1d104d5a5d39a93ff8202de4e75adbfc40f6","01-03-2024 09:17:12 PM +01:00","GsonBuilder","public GsonBuilder setDateFormat(int dateStyle)","GsonBuilderTest","public void testSetDateFormatValidStyle()
public void testSetDateFormatInvalidStyle()","public void testSetDateFormatValidStyle()
public void testSetDateFormatInvalidStyle()","public void testSetDateFormatValidStyle()
public void testSetDateFormatInvalidStyle()","public void testSetDateFormatInvalidStyle()
public void testSetDateFormatValidStyle()","2, 1"
"BusinessLogic.Evaluation_Model","5187808233eff87bd2c8cc582d5ef545f755a5e5","09-01-2024 07:19:09 PM +01:00","JavaVersion"," static int parseMajorJavaVersion(String javaVersion)","JavaVersionTest","public void testJava6()
public void testJava7()
public void testJava8()
public void testJava9()
public void testJava10()
public void testUnknownVersionFormat()","public void testJava6()
public void testJava7()
public void testJava8()
public void testJava9()
public void testJava10()
public void testUnknownVersionFormat()","public void testJava6()
public void testJava7()
public void testJava8()
public void testJava9()
public void testJava10()
public void testUnknownVersionFormat()","public void testJava10()
public void testJava6()
public void testJava7()
public void testJava8()
public void testJava9()
public void testUnknownVersionFormat()","2, 3, 4, 5, 1, 6"
"BusinessLogic.Evaluation_Model","5187808233eff87bd2c8cc582d5ef545f755a5e5","09-01-2024 07:19:09 PM +01:00","JsonReader","public void skipValue() throws IOException","JsonReaderTest","public void testFailWithPosition() throws IOException
private static void testFailWithPosition(String message, String json) throws IOException","private static void testFailWithPosition(String message, String json) throws IOException","private static void testFailWithPosition(String message, String json) throws IOException","private static void testFailWithPosition(String message, String json) throws IOException
public void skipArrayEnd() throws IOException
public void skipEndOfDocument() throws IOException
public void skipObjectEnd() throws IOException
public void skipObjectNames() throws IOException
public void skipObjectValues() throws IOException
public void testSkipObjectName() throws IOException
public void testSkipObjectNameSingleQuoted() throws IOException
public void testSkipObjectNameUnquoted() throws IOException
public void testSkipValueAfterEndOfDocument() throws IOException
public void testSkipValueAtArrayEnd() throws IOException
public void testSkipValueAtObjectEnd() throws IOException
public void testSkipArray() throws IOException
public void testSkipArrayAfterPeek() throws Exception
public void testSkipObjectAfterPeek() throws Exception
public void testSkipTopLevelObject() throws Exception
public void testSkipTopLevelQuotedString() throws IOException
public void testSkipTopLevelUnquotedString() throws IOException
public void testSkipVeryLongQuotedString() throws IOException
public void testSkipVeryLongUnquotedString() throws IOException","1"
"BusinessLogic.Evaluation_Model","08174e201980698a89f5f5996e10617d89ff09e1","19-11-2023 06:01:19 PM +01:00","ReflectionAccessFilter","public String toString()","ReflectionAccessFilterTest","public void testConstantsToString() throws Exception","public void testConstantsToString() throws Exception","public void testConstantsToString() throws Exception","public void testConstantsToString() throws Exception","1"
"BusinessLogic.Evaluation_Model","08174e201980698a89f5f5996e10617d89ff09e1","19-11-2023 06:01:19 PM +01:00","TypeToken","public boolean isAssignableFrom(Type from)","TypeTokenTest","public void testIsAssignableFromWithBasicWildcards() throws Exception","public void testIsAssignableFromWithBasicWildcards() throws Exception","public void testIsAssignableFromWithBasicWildcards() throws Exception","public void testIsAssignableFromWithBasicWildcards() throws Exception","1"
"BusinessLogic.Evaluation_Model","2c94c757a6a9426cc2fe47bc1c63f69e7c73b7b4","06-11-2023 08:59:01 PM +01:00","ConstructorConstructor","public T construct()","ConstructorConstructorTest","public void testGet_AbstractClassNoArgConstructor()
public void testGet_Interface()","public void testGet_AbstractClassNoArgConstructor()
public void testGet_Interface()","public void testGet_AbstractClassNoArgConstructor()
public void testGet_Interface()","public void testGet_AbstractClassNoArgConstructor()
public void testGet_Interface()","1, 2"
"BusinessLogic.Evaluation_Model","2c94c757a6a9426cc2fe47bc1c63f69e7c73b7b4","06-11-2023 08:59:01 PM +01:00","ConstructorConstructor","public ObjectConstructor<T> get(TypeToken<T> typeToken)","ConstructorConstructorTest","public void testGet_AbstractClassNoArgConstructor()
public void testGet_Interface()","public void testGet_AbstractClassNoArgConstructor()
public void testGet_Interface()","public void testGet_AbstractClassNoArgConstructor()
public void testGet_Interface()","public void testGet_AbstractClassNoArgConstructor()
public void testGet_Interface()","1, 2"
"BusinessLogic.Evaluation_Model","392cc65ff3004689e03b219d9b00979072f9c9d0","22-08-2023 10:42:31 PM +05:30","JsonWriter","public JsonWriter name(String name) throws IOException","JsonWriterTest","public void testInvalidTopLevelTypes() throws IOException
public void closeAllObjectsAndTryToAddElements() throws IOException","public void testInvalidTopLevelTypes() throws IOException
public void closeAllObjectsAndTryToAddElements() throws IOException","public void testInvalidTopLevelTypes() throws IOException
public void closeAllObjectsAndTryToAddElements() throws IOException","public void testInvalidTopLevelTypes() throws IOException
public void closeAllObjectsAndTryToAddElements() throws IOException
public void testNameWithoutValue() throws IOException
public void testTwoNames() throws IOException
public void testClosedWriterThrowsOnName() throws IOException","1, 2"
"BusinessLogic.Evaluation_Model","b3dce2dc17086c72bd1f8ccf508874849f9631bb","30-07-2023 09:20:32 AM -07:00","Gson","public JsonWriter newJsonWriter(Writer writer) throws IOException","GsonBuilderTest","public void testDefaultStrictness() throws IOException
public void testSetLenient() throws IOException
public void testSetStrictness() throws IOException","public void testDefaultStrictness() throws IOException
public void testSetLenient() throws IOException
public void testSetStrictness() throws IOException","public void testDefaultStrictness() throws IOException
public void testSetLenient() throws IOException
public void testSetStrictness() throws IOException","public void testNewJsonWriter_Custom() throws IOException
public void testDefaultStrictness() throws IOException
public void testSetLenient() throws IOException
public void testSetStrictness() throws IOException
public void testNewJsonWriter_Default() throws IOException","2, 3, 4"
"BusinessLogic.Evaluation_Model","b3dce2dc17086c72bd1f8ccf508874849f9631bb","30-07-2023 09:20:32 AM -07:00","Gson","public JsonReader newJsonReader(Reader reader)","GsonBuilderTest","public void testDefaultStrictness() throws IOException
public void testSetLenient() throws IOException
public void testSetStrictness() throws IOException","public void testDefaultStrictness() throws IOException
public void testSetLenient() throws IOException
public void testSetStrictness() throws IOException","public void testDefaultStrictness() throws IOException
public void testSetLenient() throws IOException
public void testSetStrictness() throws IOException","public void testDefaultStrictness() throws IOException
public void testNewJsonReader_Custom() throws IOException
public void testSetLenient() throws IOException
public void testSetStrictness() throws IOException","1, 3, 4"
"BusinessLogic.Evaluation_Model","b3dce2dc17086c72bd1f8ccf508874849f9631bb","30-07-2023 09:20:32 AM -07:00","Gson","public JsonWriter newJsonWriter(Writer writer) throws IOException","GsonTest","public void testStrictnessDefault()
public void testOverridesDefaultExcluder()
public void testClonedTypeAdapterFactoryListsAreIndependent()
public void testNewJsonWriter_Custom() throws IOException
public void testNewJsonReader_Custom() throws IOException","public void testNewJsonWriter_Custom() throws IOException","public void testNewJsonWriter_Custom() throws IOException","public void testNewJsonWriter_Custom() throws IOException
public void testDefaultStrictness() throws IOException
public void testSetLenient() throws IOException
public void testSetStrictness() throws IOException
public void testNewJsonWriter_Default() throws IOException","1"
