"linkage","linkage.sourceMethodFileName","linkage.testMethodFileName","linkage.SourceMethodName","linkage.TestMethodName","linkage.Sha_DateTime_All","linkage.Count"
"ConsoleApp.linkage","Gson","GsonTest","public TypeAdapter<T> getDelegateAdapter(TypeAdapterFactory skipPast, TypeToken<T> type)","public void testGetDelegateAdapter()","23-08-2023 02:15:18 AM +02:00:7ee5ad6cd1640d957f3a73d89a271ee2ef9c7956",1
"ConsoleApp.linkage","Gson","GsonBuilderTest","public JsonWriter newJsonWriter(Writer writer) throws IOException","public void testDefaultStrictness() throws IOException","30-07-2023 09:20:32 AM -07:00:b3dce2dc17086c72bd1f8ccf508874849f9631bb",1
"ConsoleApp.linkage","Gson","GsonBuilderTest","public JsonWriter newJsonWriter(Writer writer) throws IOException","public void testSetLenient() throws IOException","30-07-2023 09:20:32 AM -07:00:b3dce2dc17086c72bd1f8ccf508874849f9631bb",1
"ConsoleApp.linkage","Gson","GsonBuilderTest","public JsonWriter newJsonWriter(Writer writer) throws IOException","public void testSetStrictness() throws IOException","30-07-2023 09:20:32 AM -07:00:b3dce2dc17086c72bd1f8ccf508874849f9631bb",1
"ConsoleApp.linkage","Gson","GsonTest","public JsonWriter newJsonWriter(Writer writer) throws IOException","public void testNewJsonWriter_Custom() throws IOException","30-07-2023 09:20:32 AM -07:00:b3dce2dc17086c72bd1f8ccf508874849f9631bb
01-11-2021 11:11:10 PM +01:00:deaa3a6cd9f4676e0c826eadadd2f3d6dc857096",2
"ConsoleApp.linkage","Gson","GsonTest","public JsonWriter newJsonWriter(Writer writer) throws IOException","public void testNewJsonWriter_Default() throws IOException","01-11-2021 11:11:10 PM +01:00:deaa3a6cd9f4676e0c826eadadd2f3d6dc857096",1
"ConsoleApp.linkage","Gson","GsonBuilderTest","public JsonReader newJsonReader(Reader reader)","public void testDefaultStrictness() throws IOException","30-07-2023 09:20:32 AM -07:00:b3dce2dc17086c72bd1f8ccf508874849f9631bb",1
"ConsoleApp.linkage","Gson","GsonBuilderTest","public JsonReader newJsonReader(Reader reader)","public void testSetLenient() throws IOException","30-07-2023 09:20:32 AM -07:00:b3dce2dc17086c72bd1f8ccf508874849f9631bb",1
"ConsoleApp.linkage","Gson","GsonBuilderTest","public JsonReader newJsonReader(Reader reader)","public void testSetStrictness() throws IOException","30-07-2023 09:20:32 AM -07:00:b3dce2dc17086c72bd1f8ccf508874849f9631bb",1
"ConsoleApp.linkage","Gson","GsonTest","public JsonReader newJsonReader(Reader reader)","public void testNewJsonReader_Custom() throws IOException","30-07-2023 09:20:32 AM -07:00:b3dce2dc17086c72bd1f8ccf508874849f9631bb",1
"ConsoleApp.linkage","Gson","GsonTest","public TypeAdapter<T> getAdapter(TypeToken<T> type)","public void testGetAdapter_Null()","05-12-2022 06:10:36 PM +01:00:e4c3b653a6bdac992d64822796af95ff8e74a625
01-08-2022 07:59:04 PM +02:00:4552db2630b6d506ac7e212b337f818169f3c03b",2
"ConsoleApp.linkage","Gson","GsonTest","public GsonBuilder newBuilder()","public void testClonedTypeAdapterFactoryListsAreIndependent()","20-09-2017 06:53:10 PM -07:00:08bbb226f11a1f7f76835f953e700d905e1fab4d",1
"ConsoleApp.linkage","JsonParser","JsonParserTest","public static JsonElement parseReader(JsonReader reader) throws JsonIOException, JsonSyntaxException","public void testLegacyStrict()","19-03-2024 02:44:35 PM +01:00:342d60015ffb2738820d4e49423dbb884533bae8",1
"ConsoleApp.linkage","JsonParser","JsonParserTest","public static JsonElement parseReader(JsonReader reader) throws JsonIOException, JsonSyntaxException","public void testStrict()","19-03-2024 02:44:35 PM +01:00:342d60015ffb2738820d4e49423dbb884533bae8
30-07-2023 09:20:32 AM -07:00:b3dce2dc17086c72bd1f8ccf508874849f9631bb",2
"ConsoleApp.linkage","JsonParser","JsonParserTest","public static JsonElement parseString(String json) throws JsonSyntaxException","public void testParseInvalidJson()","15-04-2019 11:25:40 PM +02:00:c5a3f21fbad3828deba1deb88168e1f76829f807",1
"ConsoleApp.linkage","JsonParser","JsonParserTest","public static JsonElement parseString(String json) throws JsonSyntaxException","public void testParseUnquotedStringArrayFails()","15-04-2019 11:25:40 PM +02:00:c5a3f21fbad3828deba1deb88168e1f76829f807",1
"ConsoleApp.linkage","JsonParser","JsonParserTest","public static JsonElement parseString(String json) throws JsonSyntaxException","public void testParseString()","15-04-2019 11:25:40 PM +02:00:c5a3f21fbad3828deba1deb88168e1f76829f807",1
"ConsoleApp.linkage","JsonParser","JsonParserTest","public static JsonElement parseString(String json) throws JsonSyntaxException","public void testParseEmptyString()","15-04-2019 11:25:40 PM +02:00:c5a3f21fbad3828deba1deb88168e1f76829f807",1
"ConsoleApp.linkage","JsonParser","JsonParserTest","public static JsonElement parseString(String json) throws JsonSyntaxException","public void testParseEmptyWhitespaceInput()","15-04-2019 11:25:40 PM +02:00:c5a3f21fbad3828deba1deb88168e1f76829f807",1
"ConsoleApp.linkage","JsonParser","JsonParserTest","public static JsonElement parseString(String json) throws JsonSyntaxException","public void testParseUnquotedSingleWordStringFails()","15-04-2019 11:25:40 PM +02:00:c5a3f21fbad3828deba1deb88168e1f76829f807",1
"ConsoleApp.linkage","JsonParser","JsonParserTest","public static JsonElement parseString(String json) throws JsonSyntaxException","public void testParseUnquotedMultiWordStringFails()","15-04-2019 11:25:40 PM +02:00:c5a3f21fbad3828deba1deb88168e1f76829f807",1
"ConsoleApp.linkage","JsonParser","JsonParserTest","public static JsonElement parseString(String json) throws JsonSyntaxException","public void testParseMixedArray()","15-04-2019 11:25:40 PM +02:00:c5a3f21fbad3828deba1deb88168e1f76829f807",1
"ConsoleApp.linkage","JsonParser","JsonParserTest","public static JsonElement parseReader(Reader reader) throws JsonIOException, JsonSyntaxException","public void testParseReader()","15-04-2019 11:25:40 PM +02:00:c5a3f21fbad3828deba1deb88168e1f76829f807",1
"ConsoleApp.linkage","JsonParser","JsonParserTest","public static JsonElement parseReader(Reader reader) throws JsonIOException, JsonSyntaxException","public void testChangingCustomTreeAndDeserializing()","15-04-2019 11:25:40 PM +02:00:c5a3f21fbad3828deba1deb88168e1f76829f807",1
"ConsoleApp.linkage","JsonParser","JsonParserTest","public JsonElement parse(String json) throws JsonParseException","public void testParseString()","31-03-2009 05:53:23 PM +00:00:2034090b15cfef51d81e860b1d49340147378618",1
"ConsoleApp.linkage","JsonParser","JsonParserTest","public JsonElement parse(Reader json) throws JsonParseException","public void testParseReader()","31-03-2009 05:53:23 PM +00:00:2034090b15cfef51d81e860b1d49340147378618",1
"ConsoleApp.linkage","JsonParser","JsonParserTest","public JsonElement parse(Reader json) throws JsonParseException","public void testChangingCustomTreeAndDeserializing()","31-03-2009 05:53:23 PM +00:00:2034090b15cfef51d81e860b1d49340147378618",1
"ConsoleApp.linkage","GsonBuilder","GsonBuilderTest","public GsonBuilder setDateFormat(int dateStyle)","public void testSetDateFormatValidStyle()","01-03-2024 09:17:12 PM +01:00:13be1d104d5a5d39a93ff8202de4e75adbfc40f6",1
"ConsoleApp.linkage","GsonBuilder","GsonBuilderTest","public GsonBuilder setDateFormat(int dateStyle)","public void testSetDateFormatInvalidStyle()","01-03-2024 09:17:12 PM +01:00:13be1d104d5a5d39a93ff8202de4e75adbfc40f6",1
"ConsoleApp.linkage","GsonBuilder","GsonBuilderTest","public GsonBuilder setDateFormat(int style)","public void testSetDateFormatValidStyle()","18-11-2023 11:09:25 PM +01:00:66847264765180c849f945ca13704aa0eae79c58",1
"ConsoleApp.linkage","GsonBuilder","GsonBuilderTest","public GsonBuilder setDateFormat(int style)","public void testSetDateFormatInvalidStyle()","18-11-2023 11:09:25 PM +01:00:66847264765180c849f945ca13704aa0eae79c58",1
"ConsoleApp.linkage","GsonBuilder","GsonBuilderTest","public GsonBuilder setDateFormat(int dateStyle, int timeStyle)","public void testSetDateFormatValidStyle()","18-11-2023 11:09:25 PM +01:00:66847264765180c849f945ca13704aa0eae79c58",1
"ConsoleApp.linkage","GsonBuilder","GsonBuilderTest","public GsonBuilder setDateFormat(int dateStyle, int timeStyle)","public void testSetDateFormatInvalidStyle()","18-11-2023 11:09:25 PM +01:00:66847264765180c849f945ca13704aa0eae79c58",1
"ConsoleApp.linkage","GsonBuilder","GsonBuilderTest","public GsonBuilder registerTypeAdapter(Type type, Object typeAdapter)","public void testRegisterTypeAdapterForObjectAndJsonElements()","03-10-2023 09:29:54 AM -05:00:0109f451299e7780a334d1844548d3a3346a9b39",1
"ConsoleApp.linkage","GsonBuilder","GsonBuilderTest","public GsonBuilder registerTypeAdapter(Type type, Object typeAdapter)","public void testRegisterTypeAdapterForCoreType()","30-06-2012 02:37:49 AM +00:00:dc4e43bb237c3878d12902e562ac352cbf463333",1
"ConsoleApp.linkage","GsonBuilder","GsonBuilderTest","public GsonBuilder registerTypeAdapter(Type type, Object typeAdapter)","public void testRegisterTypeAdapterForUnsupportedType()","12-04-2012 06:27:48 PM +00:00:3df2db1f1696c49dc01d1e8a60073e5a7f39a999",1
"ConsoleApp.linkage","GsonBuilder","GsonBuilderTest","public GsonBuilder registerTypeHierarchyAdapter(Class<?> baseType, Object typeAdapter)","public void testRegisterTypeHierarchyAdapterJsonElements()","03-10-2023 09:29:54 AM -05:00:0109f451299e7780a334d1844548d3a3346a9b39",1
"ConsoleApp.linkage","GsonBuilder","GsonBuilderTest","public GsonBuilder setLenient()","public void testSetLenient() throws IOException","30-07-2023 09:20:32 AM -07:00:b3dce2dc17086c72bd1f8ccf508874849f9631bb",1
"ConsoleApp.linkage","GsonBuilder","GsonBuilderTest","public GsonBuilder setStrictness(Strictness strictness)","public void testSetStrictness() throws IOException","30-07-2023 09:20:32 AM -07:00:b3dce2dc17086c72bd1f8ccf508874849f9631bb",1
"ConsoleApp.linkage","GsonBuilder","GsonBuilderTest","public Gson create()","public void testDefaultStrictness() throws IOException","30-07-2023 09:20:32 AM -07:00:b3dce2dc17086c72bd1f8ccf508874849f9631bb",1
"ConsoleApp.linkage","GsonBuilder","GsonBuilderTest","public Gson create()","public void testSetLenient() throws IOException","30-07-2023 09:20:32 AM -07:00:b3dce2dc17086c72bd1f8ccf508874849f9631bb",1
"ConsoleApp.linkage","GsonBuilder","GsonBuilderTest","public Gson create()","public void testSetStrictness() throws IOException","30-07-2023 09:20:32 AM -07:00:b3dce2dc17086c72bd1f8ccf508874849f9631bb",1
"ConsoleApp.linkage","GsonBuilder","GsonBuilderTest","public Gson create()","public void testDisableJdkUnsafe()","31-12-2021 12:08:18 AM +01:00:615c8835d309e1be512dd98809b48332ce70250d",1
"ConsoleApp.linkage","GsonBuilder","GsonBuilderTest","public GsonBuilder setVersion(double version)","public void testSetVersionInvalid()","03-10-2022 01:38:43 AM +02:00:796193d0326a2f44bc314bf24262732ea3e64014",1
"ConsoleApp.linkage","GsonBuilder","GsonBuilderTest","public GsonBuilder disableJdkUnsafe()","public void testDisableJdkUnsafe()","31-12-2021 12:08:18 AM +01:00:615c8835d309e1be512dd98809b48332ce70250d",1
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public final TypeAdapterFactory createAdapterFactory(String datePattern)","public void testDatePattern() throws Exception","25-08-2021 11:26:58 AM -07:00:1023f0fe34ff1019109cd5f548c52eaee49750a5
09-05-2020 05:37:21 PM +02:00:380c4ec12c7a8b2b85cc3a8ac78b3f123162c70c",2
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public final TypeAdapterFactory createAdapterFactory(String datePattern)","public void testInvalidDatePattern() throws Exception","25-08-2021 11:26:58 AM -07:00:1023f0fe34ff1019109cd5f548c52eaee49750a5
09-05-2020 05:37:21 PM +02:00:380c4ec12c7a8b2b85cc3a8ac78b3f123162c70c",2
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public final TypeAdapterFactory createAdapterFactory(int dateStyle, int timeStyle)","private void assertFormattingAlwaysEmitsUsLocale(Locale locale)","25-08-2021 11:26:58 AM -07:00:1023f0fe34ff1019109cd5f548c52eaee49750a5
09-05-2020 05:37:21 PM +02:00:380c4ec12c7a8b2b85cc3a8ac78b3f123162c70c",2
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public final TypeAdapterFactory createAdapterFactory(int dateStyle, int timeStyle)","public void testParsingDatesFormattedWithSystemLocale() throws Exception","25-08-2021 11:26:58 AM -07:00:1023f0fe34ff1019109cd5f548c52eaee49750a5
09-05-2020 05:37:21 PM +02:00:380c4ec12c7a8b2b85cc3a8ac78b3f123162c70c",2
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public final TypeAdapterFactory createAdapterFactory(int dateStyle, int timeStyle)","public void testParsingDatesFormattedWithUsLocale() throws Exception","25-08-2021 11:26:58 AM -07:00:1023f0fe34ff1019109cd5f548c52eaee49750a5
09-05-2020 05:37:21 PM +02:00:380c4ec12c7a8b2b85cc3a8ac78b3f123162c70c",2
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public DefaultDateTypeAdapter<T> createAdapter(String datePattern)","public void testDatePattern() throws Exception","12-02-2020 07:25:56 PM +01:00:541252a9fb9837eb8867c094adcd37af2a655731",1
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public DefaultDateTypeAdapter<T> createAdapter(String datePattern)","public void testInvalidDatePattern() throws Exception","12-02-2020 07:25:56 PM +01:00:541252a9fb9837eb8867c094adcd37af2a655731",1
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public DefaultDateTypeAdapter<T> createAdapter(int style)","private void assertFormattingAlwaysEmitsUsLocale(Locale locale)","12-02-2020 07:25:56 PM +01:00:541252a9fb9837eb8867c094adcd37af2a655731",1
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public DefaultDateTypeAdapter<T> createAdapter(int style)","public void testParsingDatesFormattedWithSystemLocale() throws Exception","12-02-2020 07:25:56 PM +01:00:541252a9fb9837eb8867c094adcd37af2a655731",1
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public DefaultDateTypeAdapter<T> createAdapter(int style)","public void testParsingDatesFormattedWithUsLocale() throws Exception","12-02-2020 07:25:56 PM +01:00:541252a9fb9837eb8867c094adcd37af2a655731",1
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public DefaultDateTypeAdapter<T> createAdapter(int style)","public void testDateSerialization() throws Exception","12-02-2020 07:25:56 PM +01:00:541252a9fb9837eb8867c094adcd37af2a655731",1
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public DefaultDateTypeAdapter<T> createAdapter(int dateStyle, int timeStyle)","private void assertFormattingAlwaysEmitsUsLocale(Locale locale)","12-02-2020 07:25:56 PM +01:00:541252a9fb9837eb8867c094adcd37af2a655731",1
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public DefaultDateTypeAdapter<T> createAdapter(int dateStyle, int timeStyle)","public void testParsingDatesFormattedWithSystemLocale() throws Exception","12-02-2020 07:25:56 PM +01:00:541252a9fb9837eb8867c094adcd37af2a655731",1
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public DefaultDateTypeAdapter<T> createAdapter(int dateStyle, int timeStyle)","public void testParsingDatesFormattedWithUsLocale() throws Exception","12-02-2020 07:25:56 PM +01:00:541252a9fb9837eb8867c094adcd37af2a655731",1
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public DefaultDateTypeAdapter<T> createDefaultsAdapter()","private void assertFormattingAlwaysEmitsUsLocale(Locale locale)","12-02-2020 07:25:56 PM +01:00:541252a9fb9837eb8867c094adcd37af2a655731",1
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public DefaultDateTypeAdapter<T> createDefaultsAdapter()","public void testParsingDatesFormattedWithSystemLocale() throws Exception","12-02-2020 07:25:56 PM +01:00:541252a9fb9837eb8867c094adcd37af2a655731",1
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public DefaultDateTypeAdapter<T> createDefaultsAdapter()","public void testParsingDatesFormattedWithUsLocale() throws Exception","12-02-2020 07:25:56 PM +01:00:541252a9fb9837eb8867c094adcd37af2a655731",1
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public DefaultDateTypeAdapter<T> createDefaultsAdapter()","public void testFormatUsesDefaultTimezone() throws Exception","12-02-2020 07:25:56 PM +01:00:541252a9fb9837eb8867c094adcd37af2a655731",1
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public DefaultDateTypeAdapter<T> createDefaultsAdapter()","public void testDateDeserializationISO8601() throws Exception","12-02-2020 07:25:56 PM +01:00:541252a9fb9837eb8867c094adcd37af2a655731",1
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public DefaultDateTypeAdapter<T> createDefaultsAdapter()","public void testNullValue() throws Exception","12-02-2020 07:25:56 PM +01:00:541252a9fb9837eb8867c094adcd37af2a655731",1
"ConsoleApp.linkage","DefaultDateTypeAdapter","DefaultDateTypeAdapterTest","public DefaultDateTypeAdapter<T> createDefaultsAdapter()","public void testUnexpectedToken() throws Exception","12-02-2020 07:25:56 PM +01:00:541252a9fb9837eb8867c094adcd37af2a655731",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public boolean equals(Object obj)","public void testBigDecimalEquals()","09-02-2024 05:38:42 PM +01:00:db61bb07f04512b6fc21a5ce4d2b7cd380a1e7fc",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public boolean equals(Object obj)","public void testBigDecimalEqualsZero()","09-02-2024 05:38:42 PM +01:00:db61bb07f04512b6fc21a5ce4d2b7cd380a1e7fc",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public boolean equals(Object obj)","public void testEqualsDoubleNaNAndBigDecimal()","09-02-2024 05:38:42 PM +01:00:db61bb07f04512b6fc21a5ce4d2b7cd380a1e7fc",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public boolean equals(Object obj)","public void testEqualsIntegerAndBigInteger()","06-02-2023 06:40:11 PM +01:00:af2179843601c73aa96062208d8f324a45243e47",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public boolean equals(Object obj)","public void testEquals()","15-02-2011 12:14:20 AM +00:00:3d006c90a2d2e53f786acdba64f48d9b12ab0ed3",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public boolean equals(Object obj)","public void testEqualsDoesNotEquateStringAndNonStringTypes()","15-02-2011 12:14:20 AM +00:00:3d006c90a2d2e53f786acdba64f48d9b12ab0ed3",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public Number getAsNumber()","public void testAsNumber_Boolean()","21-08-2022 10:29:40 PM +02:00:51a72b463bc447d32fe8e594afa1980fd34e52d6",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public String getAsString()","public void testStringsAndChar() throws Exception","21-08-2022 10:29:40 PM +02:00:51a72b463bc447d32fe8e594afa1980fd34e52d6",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public char getAsCharacter()","public void testStringsAndChar() throws Exception","21-08-2022 10:29:40 PM +02:00:51a72b463bc447d32fe8e594afa1980fd34e52d6",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public JsonPrimitive deepCopy()","public void testDeepCopy()","21-08-2012 01:19:43 AM +00:00:9c4b23b39ad8bb0e42b0b3324a929bbb8b52158f",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public boolean getAsBoolean()","public void testBoolean() throws Exception","23-10-2011 09:41:30 PM +00:00:0340e01f98274f2ec573fcd1475fdc3d3fbca4ef
14-04-2011 02:42:47 AM +00:00:c894fb6c2321231c3793a2092650596d53f37e41",2
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public int hashCode()","public void testByteEqualsShort()","23-09-2009 06:54:01 PM +00:00:fdcd3945c53c4a1c921ea8097cbecbbf154fa9e8",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public int hashCode()","public void testByteEqualsInteger()","23-09-2009 06:54:01 PM +00:00:fdcd3945c53c4a1c921ea8097cbecbbf154fa9e8",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public int hashCode()","public void testByteEqualsLong()","23-09-2009 06:54:01 PM +00:00:fdcd3945c53c4a1c921ea8097cbecbbf154fa9e8",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public int hashCode()","public void testByteEqualsBigInteger()","23-09-2009 06:54:01 PM +00:00:fdcd3945c53c4a1c921ea8097cbecbbf154fa9e8",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public int hashCode()","public void testShortEqualsInteger()","23-09-2009 06:54:01 PM +00:00:fdcd3945c53c4a1c921ea8097cbecbbf154fa9e8",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public int hashCode()","public void testShortEqualsLong()","23-09-2009 06:54:01 PM +00:00:fdcd3945c53c4a1c921ea8097cbecbbf154fa9e8",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public int hashCode()","public void testShortEqualsBigInteger()","23-09-2009 06:54:01 PM +00:00:fdcd3945c53c4a1c921ea8097cbecbbf154fa9e8",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public int hashCode()","public void testIntegerEqualsLong()","23-09-2009 06:54:01 PM +00:00:fdcd3945c53c4a1c921ea8097cbecbbf154fa9e8",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public int hashCode()","public void testIntegerEqualsBigInteger()","23-09-2009 06:54:01 PM +00:00:fdcd3945c53c4a1c921ea8097cbecbbf154fa9e8",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public int hashCode()","public void testLongEqualsBigInteger()","23-09-2009 06:54:01 PM +00:00:fdcd3945c53c4a1c921ea8097cbecbbf154fa9e8",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public int hashCode()","public void testFloatEqualsDouble()","23-09-2009 06:54:01 PM +00:00:fdcd3945c53c4a1c921ea8097cbecbbf154fa9e8",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public int hashCode()","public void testFloatEqualsBigDecimal()","23-09-2009 06:54:01 PM +00:00:fdcd3945c53c4a1c921ea8097cbecbbf154fa9e8",1
"ConsoleApp.linkage","JsonPrimitive","JsonPrimitiveTest","public int hashCode()","public void testDoubleEqualsBigDecimal()","23-09-2009 06:54:01 PM +00:00:fdcd3945c53c4a1c921ea8097cbecbbf154fa9e8",1
"ConsoleApp.linkage","JavaVersion","JavaVersionTest"," static int parseMajorJavaVersion(String javaVersion)","public void testJava6()","09-01-2024 07:19:09 PM +01:00:5187808233eff87bd2c8cc582d5ef545f755a5e5",1
"ConsoleApp.linkage","JavaVersion","JavaVersionTest"," static int parseMajorJavaVersion(String javaVersion)","public void testJava7()","09-01-2024 07:19:09 PM +01:00:5187808233eff87bd2c8cc582d5ef545f755a5e5",1
"ConsoleApp.linkage","JavaVersion","JavaVersionTest"," static int parseMajorJavaVersion(String javaVersion)","public void testJava8()","09-01-2024 07:19:09 PM +01:00:5187808233eff87bd2c8cc582d5ef545f755a5e5",1
